nama_hero,role,win_rate,pick_rate,ban_rate
Terizla,fighter,0.2562695924764893,0.15,0.02
Martis,fighter,0.09952978056426343,0.15,0.02
Grock,tank,0.31034482758620685,0.14,0.02
Carmilla,support,0.7860501567398117,0.08,0.02
Irithel,marksman,0.6105015673981198,0.38,0.03
Thamuz,fighter,0.28683385579937326,0.33,0.03
Leomord,fighter,0.4992163009404389,0.31,0.03
Lunox,mage,0.4553291536050157,0.24,0.03
Aurora,mage,0.32915360501567426,0.23,0.03
Minsitthar,fighter,0.5336990595611284,0.17,0.03
Alpha,fighter,0.37382445141065856,0.25,0.04
Kimmy,marksman,0.8213166144200628,0.16,0.04
Vexana,mage,0.5282131661442007,0.1,0.04
Karrie,marksman,0.11442006269592486,0.72,0.05
Ruby,fighter,0.6731974921630091,0.51,0.05
Belerick,tank,0.6920062695924765,0.41,0.05
Lolita,tank,1.0,0.13,0.05
Akai,tank,0.4349529780564265,0.61,0.06
Moskov,marksman,0.4341692789968654,0.48,0.06
Freya,fighter,0.6065830721003138,0.38,0.06
Harith,mage,0.32836990595611315,0.31,0.06
X.Borg,fighter,0.39420062695924774,0.99,0.07
Dyrroth,fighter,0.18652037617554873,0.87,0.07
Faramis,support,0.5141065830721003,0.05,0.07
Hylos,tank,0.757836990595611,0.75,0.08
Clint,marksman,0.4866771159874608,0.71,0.08
Lylia,mage,0.7750783699059562,0.4,0.08
Gord,mage,0.5101880877742948,0.48,0.09
Masha,fighter,0.8150470219435739,0.3,0.09
Minotaur,tank,0.6708463949843262,0.21,0.09
Cyclops,mage,0.6504702194357366,1.07,0.1
Baxia,tank,0.7695924764890281,0.44,0.1
Khaleed,fighter,0.6826018808777423,0.39,0.1
Bane,fighter,0.30799373040752354,0.13,0.1
Bruno,marksman,0.40909090909090917,1.15,0.11
Kagura,mage,0.7296238244514104,0.71,0.11
Kaja,support,0.6167711598746086,0.17,0.11
Popol and Kupa,marksman,0.4443573667711598,0.32,0.12
Argus,fighter,0.8252351097178678,0.41,0.13
Badang,fighter,0.4741379310344831,1.06,0.14
Lapu Lapu,fighter,0.4231974921630095,0.76,0.15
Hilda,fighter,0.2625391849529781,0.49,0.15
Roger,fighter,0.3605015673981189,1.0,0.16
Odette,mage,0.42789968652037613,0.75,0.16
Valir,mage,0.49451410658307227,0.63,0.16
Granger,marksman,0.2852664576802506,1.43,0.17
Estes,support,0.5775862068965516,0.16,0.21
Alucard,fighter,0.40673981191222586,1.52,0.23
Alice,mage,0.5094043887147333,0.37,0.24
Rafaela,support,0.4898119122257052,0.18,0.29
Kadita,mage,0.5579937304075235,0.51,0.32
Eudora,mage,0.39420062695924774,1.69,0.36
Lesley,marksman,0.40673981191222586,1.94,0.4
Miya,marksman,0.4216300940438873,2.35,0.42
Barats,tank,0.18730407523510983,0.1,0.42
Zilong,fighter,0.3385579937304075,2.64,0.49
Hanabi,marksman,0.6802507836990594,2.04,0.5
Uranus,tank,0.44200626959247646,0.69,0.51
Franco,tank,0.3064263322884013,2.56,0.52
Pharsa,mage,0.31818181818181834,1.41,0.69
Sun,fighter,0.5744514106583072,1.85,0.7
Saber,assassin,0.22648902821316597,1.55,0.71
Yi Sun Shin,marksman,0.9083072100313476,1.19,0.75
Cecilion,mage,0.5360501567398122,1.35,0.77
Chou,fighter,0.40360501567398144,3.17,0.82
Chang'e,mage,0.7186520376175549,2.07,0.93
Claude,marksman,0.6293103448275863,1.33,0.98
Tigreal,tank,0.4772727272727275,3.71,1.14
Nana,mage,0.22178683385579978,1.99,1.22
Balmond,fighter,0.20141065830721017,1.96,1.22
Layla,marksman,0.3416927899686524,2.79,1.32
Angela,support,0.37382445141065856,1.53,1.36
Atlas,tank,0.6152037617554855,0.75,1.53
Harley,mage,0.6896551724137927,1.24,1.67
Karina,assassin,0.48354231974921635,1.02,1.68
Jawhead,fighter,0.5626959247648902,1.59,1.72
Guinevere,fighter,0.5532915360501565,2.58,10.02
Aldous,fighter,0.6238244514106581,1.15,10.22
Ling,assassin,0.3487460815047023,0.46,11.24
Hanzo,assassin,0.5407523510971788,0.39,11.32
Paquito,fighter,0.27899686520376177,0.76,12.63
Vale,mage,0.6269592476489025,1.88,2.24
Zhask,mage,0.7061128526645772,0.79,2.32
Gatot Kaca,tank,0.6935736677115987,2.03,2.69
Selena,assassin,0.5869905956112849,1.31,2.76
Khufra,tank,0.6057993730407523,0.98,2.76
Gusion,assassin,0.4678683385579938,1.75,2.8
Yu Zhong,fighter,0.5,1.51,2.87
Wanwan,marksman,0.7468652037617556,1.62,20.35
Lancelot,assassin,0.23354231974921635,1.42,24.88
Luo Yi,mage,0.5007836990595611,0.84,3.21
Hayabusa,assassin,0.6261755485893419,1.56,3.44
Diggie,support,0.7993730407523509,0.25,3.84
Johnson,tank,0.584639498432602,1.43,32.52
Helcurt,assassin,0.34404388714733525,0.49,33.92
Yve,mage,0.7037617554858935,0.3,4.22
Mathilda,support,0.4231974921630095,0.29,4.37
Fanny,assassin,0.4169278996865202,0.92,4.48
Esmeralda,mage,0.4239811912225706,1.25,42.29
Benedetta,assassin,0.6778996865203766,0.72,49.46
Brody,marksman,0.6144200626959249,0.71,60.05
Natalia,assassin,0.3158307210031346,0.41,61.29
Silvanna,fighter,0.6990595611285269,3.06,9.59
Valentina,mage,0.0,0.28,0.53
Yve,mage,0.34090909090909083,0.29,0.18
