role,ban_rate
fighter,0.02
fighter,0.02
tank,0.02
support,0.02
marksman,0.03
fighter,0.03
fighter,0.03
mage,0.03
mage,0.03
fighter,0.03
fighter,0.04
marksman,0.04
mage,0.04
marksman,0.05
fighter,0.05
tank,0.05
tank,0.05
tank,0.06
marksman,0.06
fighter,0.06
mage,0.06
fighter,0.07
fighter,0.07
support,0.07
tank,0.08
marksman,0.08
mage,0.08
mage,0.09
fighter,0.09
tank,0.09
mage,0.1
tank,0.1
fighter,0.1
fighter,0.1
marksman,0.11
mage,0.11
support,0.11
marksman,0.12
fighter,0.13
fighter,0.14
fighter,0.15
fighter,0.15
fighter,0.16
mage,0.16
mage,0.16
marksman,0.17
support,0.21
fighter,0.23
mage,0.24
support,0.29
mage,0.32
mage,0.36
marksman,0.4
marksman,0.42
tank,0.42
fighter,0.49
marksman,0.5
tank,0.51
tank,0.52
mage,0.69
fighter,0.7
assassin,0.71
marksman,0.75
mage,0.77
fighter,0.82
mage,0.93
marksman,0.98
tank,1.14
mage,1.22
fighter,1.22
marksman,1.32
support,1.36
tank,1.53
mage,1.67
assassin,1.68
fighter,1.72
fighter,10.02
fighter,10.22
assassin,11.24
assassin,11.32
fighter,12.63
mage,2.24
mage,2.32
tank,2.69
assassin,2.76
tank,2.76
assassin,2.8
fighter,2.87
marksman,20.35
assassin,24.88
mage,3.21
assassin,3.44
support,3.84
tank,32.52
assassin,33.92
mage,4.22
support,4.37
assassin,4.48
mage,42.29
assassin,49.46
marksman,60.05
assassin,61.29
fighter,9.59
mage,0.53
mage,0.18
