nama_hero,role,win_rate,pick_rate,ban_rate,release_year
Terizla,fighter,47.0,0.15,0.02,2019
Martis,fighter,45.0,0.15,0.02,2018
Grock,tank,47.69,0.14,0.02,2017
Carmilla,support,53.76,0.08,0.02,2020
Irithel,marksman,51.52,0.38,0.03,2017
Thamuz,fighter,47.39,0.33,0.03,2018
Leomord,fighter,50.1,0.31,0.03,2018
Lunox,mage,49.54,0.24,0.03,2018
Aurora,mage,47.93,0.23,0.03,2017
Minsitthar,fighter,50.54,0.17,0.03,2018
Alpha,fighter,48.5,0.25,0.04,2017
Kimmy,marksman,54.21,0.16,0.04,2018
Vexana,mage,50.47,0.1,0.04,2017
Karrie,marksman,45.19,0.72,0.05,2017
Ruby,fighter,52.32,0.51,0.05,2017
Belerick,tank,52.56,0.41,0.05,2018
Lolita,tank,56.49,0.13,0.05,2016
Akai,tank,49.28,0.61,0.06,2016
Moskov,marksman,49.27,0.48,0.06,2017
Freya,fighter,51.47,0.38,0.06,2016
Harith,mage,47.92,0.31,0.06,2018
X.Borg,fighter,48.76,0.99,0.07,2019
Dyrroth,fighter,46.11,0.87,0.07,2019
Faramis,support,50.29,0.05,0.07,2019
Hylos,tank,53.4,0.75,0.08,2017
Clint,marksman,49.94,0.71,0.08,2016
Lylia,mage,53.62,0.4,0.08,2019
Gord,mage,50.24,0.48,0.09,2016
Masha,fighter,54.13,0.3,0.09,2019
Minotaur,tank,52.29,0.21,0.09,2016
Cyclops,mage,52.03,1.07,0.1,2017
Baxia,tank,53.55,0.44,0.1,2019
Khaleed,fighter,52.44,0.39,0.1,2020
Bane,fighter,47.66,0.13,0.1,2016
Bruno,marksman,48.95,1.15,0.11,2016
Kagura,mage,53.04,0.71,0.11,2016
Kaja,support,51.6,0.17,0.11,2018
Popol and Kupa,marksman,49.4,0.32,0.12,2020
Argus,fighter,54.26,0.41,0.13,2017
Badang,fighter,49.78,1.06,0.14,2019
Lapu Lapu,fighter,49.13,0.76,0.15,2017
Hilda,fighter,47.08,0.49,0.15,2017
Roger,fighter,48.33,1.0,0.16,2017
Odette,mage,49.19,0.75,0.16,2017
Valir,mage,50.04,0.63,0.16,2018
Granger,marksman,47.37,1.43,0.17,2019
Estes,support,51.1,0.16,0.21,2017
Alucard,fighter,48.92,1.52,0.23,2016
Alice,mage,50.23,0.37,0.24,2016
Rafaela,support,49.98,0.18,0.29,2016
Kadita,mage,50.85,0.51,0.32,2018
Eudora,mage,48.76,1.69,0.36,2016
Lesley,marksman,48.92,1.94,0.4,2018
Miya,marksman,49.11,2.35,0.42,2016
Barats,tank,46.12,0.1,0.42,2020
Zilong,fighter,48.05,2.64,0.49,2016
Hanabi,marksman,52.41,2.04,0.5,2018
Uranus,tank,49.37,0.69,0.51,2018
Franco,tank,47.64,2.56,0.52,2016
Pharsa,mage,47.79,1.41,0.69,2017
Sun,fighter,51.06,1.85,0.7,2016
Saber,assassin,46.62,1.55,0.71,2016
Yi Sun Shin,marksman,55.32,1.19,0.75,2017
Cecilion,mage,50.57,1.35,0.77,2020
Chou,fighter,48.88,3.17,0.82,2016
Chang'e,mage,52.9,2.07,0.93,2018
Claude,marksman,51.76,1.33,0.98,2018
Tigreal,tank,49.82,3.71,1.14,2016
Nana,mage,46.56,1.99,1.22,2016
Balmond,fighter,46.3,1.96,1.22,2016
Layla,marksman,48.09,2.79,1.32,2016
Angela,support,48.5,1.53,1.36,2018
Atlas,tank,51.58,0.75,1.53,2020
Harley,mage,52.53,1.24,1.67,2017
Karina,assassin,49.9,1.02,1.68,2016
Jawhead,fighter,50.91,1.59,1.72,2018
Guinevere,fighter,50.79,2.58,10.02,2019
Aldous,fighter,51.69,1.15,10.22,2018
Ling,assassin,48.18,0.46,11.24,2019
Hanzo,assassin,50.63,0.39,11.32,2018
Paquito,fighter,47.29,0.76,12.63,2021
Vale,mage,51.73,1.88,2.24,2019
Zhask,mage,52.74,0.79,2.32,2017
Gatot Kaca,tank,52.58,2.03,2.69,2017
Selena,assassin,51.22,1.31,2.76,2018
Khufra,tank,51.46,0.98,2.76,2019
Gusion,assassin,49.7,1.75,2.8,2018
Yu Zhong,fighter,50.11,1.51,2.87,2020
Wanwan,marksman,53.26,1.62,20.35,2019
Lancelot,assassin,46.71,1.42,24.88,2017
Luo Yi,mage,50.12,0.84,3.21,2020
Hayabusa,assassin,51.72,1.56,3.44,2016
Diggie,support,53.93,0.25,3.84,2017
Johnson,tank,51.19,1.43,32.52,2017
Helcurt,assassin,48.12,0.49,33.92,2017
Yve,mage,52.71,0.3,4.22,2021
Mathilda,support,49.13,0.29,4.37,2020
Fanny,assassin,49.05,0.92,4.48,2016
Esmeralda,mage,49.14,1.25,42.29,2019
Benedetta,assassin,52.38,0.72,49.46,2020
Brody,marksman,51.57,0.71,60.05,2020
Natalia,assassin,47.76,0.41,61.29,2016
Silvanna,fighter,52.65,3.06,9.59,2019
Valentina,mage,43.73,0.28,0.53,2021
Yve,mage,48.08,0.29,0.18,2021
